frame,timestamp,age,gender
0,0.0,21,Man
1,0.04,21,Man
2,0.08,21,Man
3,0.12,21,Man
4,0.16,21,Man
5,0.2,21,Man
6,0.24,21,Man
7,0.28,21,Man
8,0.32,21,Man
9,0.36,21,Man
10,0.4,21,Man
11,0.44,21,Man
12,0.48,21,Man
13,0.52,21,Man
14,0.56,21,Man
15,0.6,21,Man
16,0.64,21,Man
17,0.68,21,Man
18,0.72,21,Man
19,0.76,21,Man
20,0.8,20,Man
21,0.84,21,Man
22,0.88,21,Man
23,0.92,21,Man
24,0.96,20,Man
25,1.0,20,Man
26,1.04,20,Man
27,1.08,20,Man
28,1.12,20,Man
29,1.16,20,Man
30,1.2,20,Man
31,1.24,20,Man
32,1.28,20,Man
33,1.32,20,Man
34,1.36,20,Man
35,1.4,20,Man
36,1.44,20,Man
37,1.48,20,Man
38,1.52,20,Man
39,1.56,20,Man
40,1.6,20,Man
41,1.64,20,Man
42,1.68,20,Man
43,1.72,20,Man
44,1.76,20,Man
45,1.8,20,Man
46,1.84,20,Man
47,1.88,20,Man
48,1.92,20,Man
49,1.96,20,Man
50,2.0,20,Man
51,2.04,20,Man
52,2.08,20,Man
53,2.12,20,Man
54,2.16,20,Man
55,2.2,20,Man
56,2.24,20,Man
57,2.28,20,Man
58,2.32,20,Man
59,2.36,20,Man
60,2.4,20,Man
61,2.44,20,Man
62,2.48,20,Man
63,2.52,20,Man
64,2.56,21,Man
65,2.6,21,Man
66,2.64,21,Man
67,2.68,21,Man
68,2.72,21,Man
69,2.76,21,Man
70,2.8,22,Man
71,2.84,21,Man
72,2.88,21,Man
73,2.92,21,Man
74,2.96,22,Man
75,3.0,22,Man
76,3.04,22,Man
77,3.08,22,Man
78,3.12,22,Man
79,3.16,22,Man
80,3.2,22,Man
81,3.24,22,Man
82,3.28,22,Man
83,3.32,22,Man
84,3.36,22,Man
85,3.4,22,Man
86,3.44,22,Man
87,3.48,22,Man
88,3.52,22,Man
89,3.56,22,Man
90,3.6,22,Man
91,3.64,22,Man
92,3.68,22,Man
93,3.72,22,Man
94,3.76,22,Man
95,3.8,22,Man
96,3.84,22,Man
97,3.88,22,Man
98,3.92,22,Man
99,3.96,22,Man
100,4.0,22,Man
101,4.04,22,Man
102,4.08,22,Man
103,4.12,22,Man
104,4.16,22,Man
105,4.2,22,Man
106,4.24,22,Man
107,4.28,22,Man
108,4.32,22,Man
109,4.36,22,Man
110,4.4,22,Man
111,4.44,22,Man
112,4.48,22,Man
113,4.52,22,Man
114,4.56,22,Man
115,4.6,22,Man
116,4.64,22,Man
117,4.68,22,Man
118,4.72,22,Man
119,4.76,22,Man
120,4.8,22,Man
121,4.84,22,Man
122,4.88,22,Man
123,4.92,22,Man
124,4.96,22,Man
125,5.0,23,Man
126,5.04,23,Man
127,5.08,23,Man
128,5.12,26,Man
129,5.16,26,Man
130,5.2,26,Man
131,5.24,27,Man
132,5.28,27,Man
133,5.32,25,Man
134,5.36,25,Man
135,5.4,25,Man
136,5.44,26,Man
137,5.48,25,Man
138,5.52,26,Man
139,5.56,26,Man
140,5.6,26,Man
141,5.64,26,Man
142,5.68,26,Man
143,5.72,25,Man
144,5.76,24,Man
145,5.8,26,Man
146,5.84,26,Man
147,5.88,27,Man
148,5.92,27,Man
149,5.96,27,Man
150,6.0,27,Man
151,6.04,26,Man
152,6.08,27,Man
153,6.12,26,Man
154,6.16,26,Man
155,6.2,25,Man
156,6.24,25,Man
157,6.28,25,Man
158,6.32,25,Man
159,6.36,24,Man
160,6.4,24,Man
161,6.44,25,Man
162,6.48,24,Man
163,6.52,23,Man
164,6.56,23,Man
165,6.6,24,Man
166,6.64,23,Man
167,6.68,23,Man
168,6.72,22,Man
169,6.76,22,Man
170,6.8,21,Man
171,6.84,22,Man
172,6.88,22,Man
173,6.92,22,Man
174,6.96,22,Man
175,7.0,21,Man
176,7.04,22,Man
177,7.08,22,Man
178,7.12,21,Man
179,7.16,22,Man
180,7.2,22,Man
181,7.24,22,Man
182,7.28,21,Man
183,7.32,21,Man
184,7.36,21,Man
185,7.4,21,Man
186,7.44,22,Man
187,7.48,22,Man
188,7.52,22,Man
189,7.56,22,Man
190,7.6,22,Man
191,7.64,22,Man
192,7.68,22,Man
193,7.72,22,Man
194,7.76,22,Man
195,7.8,22,Man
196,7.84,22,Man
197,7.88,22,Man
198,7.92,22,Man
199,7.96,22,Man
200,8.0,21,Man
201,8.04,22,Man
202,8.08,21,Man
203,8.12,21,Man
204,8.16,21,Man
205,8.2,21,Man
206,8.24,21,Man
207,8.28,21,Man
208,8.32,21,Man
209,8.36,21,Man
210,8.4,21,Man
211,8.44,21,Man
212,8.48,21,Man
213,8.52,21,Man
214,8.56,21,Man
215,8.6,22,Man
216,8.64,22,Man
217,8.68,23,Man
218,8.72,22,Man
219,8.76,22,Man
220,8.8,21,Man
221,8.84,21,Man
222,8.88,22,Man
223,8.92,22,Man
224,8.96,22,Man
225,9.0,22,Man
226,9.04,22,Man
227,9.08,22,Man
228,9.12,22,Man
229,9.16,22,Man
230,9.2,23,Man
231,9.24,23,Man
232,9.28,23,Man
233,9.32,23,Man
234,9.36,23,Man
235,9.4,23,Man
236,9.44,23,Man
237,9.48,23,Man
238,9.52,23,Man
239,9.56,22,Man
240,9.6,23,Man
241,9.64,23,Man
242,9.68,22,Man
243,9.72,23,Man
244,9.76,23,Man
245,9.8,23,Man
246,9.84,23,Man
247,9.88,23,Man
248,9.92,23,Man
249,9.96,23,Man
250,10.0,22,Man
251,10.04,22,Man
252,10.08,22,Man
253,10.12,22,Man
254,10.16,22,Man
255,10.2,22,Man
256,10.24,23,Man
257,10.28,23,Man
258,10.32,23,Man
259,10.36,23,Man
260,10.4,23,Man
261,10.44,23,Man
262,10.48,22,Man
263,10.52,20,Man
264,10.56,21,Man
265,10.6,21,Man
266,10.64,21,Man
267,10.68,21,Man
268,10.72,21,Man
269,10.76,21,Man
270,10.8,22,Man
271,10.84,22,Man
272,10.88,24,Man
273,10.92,25,Man
274,10.96,25,Man
275,11.0,24,Man
276,11.04,24,Man
277,11.08,24,Man
278,11.12,24,Man
279,11.16,24,Man
280,11.2,25,Man
281,11.24,25,Man
282,11.28,25,Man
283,11.32,25,Man
284,11.36,25,Man
285,11.4,25,Man
286,11.44,25,Man
287,11.48,25,Man
288,11.52,25,Man
289,11.56,25,Man
290,11.6,25,Man
291,11.64,25,Man
292,11.68,25,Man
293,11.72,25,Man
294,11.76,25,Man
295,11.8,25,Man
296,11.84,25,Man
297,11.88,25,Man
298,11.92,26,Man
299,11.96,26,Man
